From\To,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,,10,35,60,64,89,14,18,43,68,72,97,22,26,51,76,80,105,30,34,59,84,88,113,38,42,67,92,96,121,46,54,79,104,108,133,58,46,71,96,100,125,50,38,63,88,92,117,42,30,55,80,84,109,34,22,47,72,76,101,26,36
1,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,78,103,28,32,57,82,86,111,36,44,69,94,98,123,48,36,61,86,90,115,40,28,53,78,82,107,32,20,45,70,74,99,24,12,37,62,66,91,16,26
2,,,,25,29,54,79,83,108,33,37,62,87,91,116,41,45,70,95,99,124,49,53,78,103,107,132,57,61,86,111,119,144,169,173,198,123,111,136,161,165,190,115,103,128,153,157,182,107,95,120,145,149,174,99,87,112,137,141,166,91,101
3,,,,,4,29,54,58,83,8,12,37,62,66,91,16,20,45,70,74,99,24,28,53,78,82,107,32,36,61,86,94,119,144,148,173,98,86,111,136,140,165,90,78,103,128,132,157,82,70,95,120,124,149,74,62,87,112,116,141,66,76
4,,,,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,78,103,28,32,57,82,90,115,140,144,169,94,82,107,132,136,161,86,74,99,124,128,153,78,66,91,116,120,145,70,58,83,108,112,137,62,72
5,,,,,,,25,29,54,79,83,108,33,37,62,87,91,116,41,45,70,95,99,124,49,53,78,103,107,132,57,65,90,115,119,144,69,57,82,107,111,136,61,49,74,99,103,128,53,41,66,91,95,120,45,33,58,83,87,112,37,47
6,,,,,,,,4,29,54,58,83,8,12,37,62,66,91,16,20,45,70,74,99,24,28,53,78,82,107,32,40,65,90,94,119,44,32,57,82,86,111,36,24,49,74,78,103,28,16,41,66,70,95,20,8,33,58,62,87,12,22
7,,,,,,,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,78,103,28,36,61,86,90,115,40,28,53,78,82,107,32,20,45,70,74,99,24,12,37,62,66,91,16,20,45,70,74,99,24,34
8,,,,,,,,,,25,29,54,79,83,108,33,37,62,87,91,116,41,45,70,95,99,124,49,53,78,103,111,136,161,165,190,115,103,128,153,157,182,107,95,120,145,149,174,99,87,112,137,141,166,91,95,120,145,149,174,99,109
9,,,,,,,,,,,4,29,54,58,83,8,12,37,62,66,91,16,20,45,70,74,99,24,28,53,78,86,111,136,140,165,90,78,103,128,132,157,82,70,95,120,124,149,74,62,87,112,116,141,66,70,95,120,124,149,74,84
10,,,,,,,,,,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,82,107,132,136,161,86,74,99,124,128,153,78,66,91,116,120,145,70,58,83,108,112,137,62,66,91,116,120,145,70,80
11,,,,,,,,,,,,,25,29,54,79,83,108,33,37,62,87,91,116,41,45,70,95,99,124,49,57,82,107,111,136,61,49,74,99,103,128,53,41,66,91,95,120,45,33,58,83,87,112,37,41,66,91,95,120,45,55
12,,,,,,,,,,,,,,4,29,54,58,83,8,12,37,62,66,91,16,20,45,70,74,99,24,32,57,82,86,111,36,24,49,74,78,103,28,16,41,66,70,95,20,8,33,58,62,87,12,16,41,66,70,95,20,30
13,,,,,,,,,,,,,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,70,95,20,28,53,78,82,107,32,20,45,70,74,99,24,12,37,62,66,91,16,20,45,70,74,99,24,28,53,78,82,107,32,42
14,,,,,,,,,,,,,,,,25,29,54,79,83,108,33,37,62,87,91,116,41,45,70,95,103,128,153,157,182,107,95,120,145,149,174,99,87,112,137,141,166,91,95,120,145,149,174,99,103,128,153,157,182,107,117
15,,,,,,,,,,,,,,,,,4,29,54,58,83,8,12,37,62,66,91,16,20,45,70,78,103,128,132,157,82,70,95,120,124,149,74,62,87,112,116,141,66,70,95,120,124,149,74,78,103,128,132,157,82,92
16,,,,,,,,,,,,,,,,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,74,99,124,128,153,78,66,91,116,120,145,70,58,83,108,112,137,62,66,91,116,120,145,70,74,99,124,128,153,78,88
17,,,,,,,,,,,,,,,,,,,25,29,54,79,83,108,33,37,62,87,91,116,41,49,74,99,103,128,53,41,66,91,95,120,45,33,58,83,87,112,37,41,66,91,95,120,45,49,74,99,103,128,53,63
18,,,,,,,,,,,,,,,,,,,,4,29,54,58,83,8,12,37,62,66,91,16,24,49,74,78,103,28,16,41,66,70,95,20,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,78,103,28,38
19,,,,,,,,,,,,,,,,,,,,,25,50,54,79,4,8,33,58,62,87,12,20,45,70,74,99,24,12,37,62,66,91,16,20,45,70,74,99,24,28,53,78,82,107,32,36,61,86,90,115,40,50
20,,,,,,,,,,,,,,,,,,,,,,25,29,54,79,83,108,33,37,62,87,95,120,145,149,174,99,87,112,137,141,166,91,95,120,145,149,174,99,103,128,153,157,182,107,111,136,161,165,190,115,125
21,,,,,,,,,,,,,,,,,,,,,,,4,29,54,58,83,8,12,37,62,70,95,120,124,149,74,62,87,112,116,141,66,70,95,120,124,149,74,78,103,128,132,157,82,86,111,136,140,165,90,100
22,,,,,,,,,,,,,,,,,,,,,,,,25,50,54,79,4,8,33,58,66,91,116,120,145,70,58,83,108,112,137,62,66,91,116,120,145,70,74,99,124,128,153,78,82,107,132,136,161,86,96
23,,,,,,,,,,,,,,,,,,,,,,,,,25,29,54,79,83,108,33,41,66,91,95,120,45,33,58,83,87,112,37,41,66,91,95,120,45,49,74,99,103,128,53,57,82,107,111,136,61,71
24,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,54,58,83,8,16,41,66,70,95,20,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,78,103,28,32,57,82,86,111,36,46
25,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,54,79,4,12,37,62,66,91,16,20,45,70,74,99,24,28,53,78,82,107,32,36,61,86,90,115,40,44,69,94,98,123,48,58
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,29,54,79,87,112,137,141,166,91,95,120,145,149,174,99,103,128,153,157,182,107,111,136,161,165,190,115,119,144,169,173,198,123,133
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,54,62,87,112,116,141,66,70,95,120,124,149,74,78,103,128,132,157,82,86,111,136,140,165,90,94,119,144,148,173,98,108
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,58,83,108,112,137,62,66,91,116,120,145,70,74,99,124,128,153,78,82,107,132,136,161,86,90,115,140,144,169,94,104
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,33,58,83,87,112,37,41,66,91,95,120,45,49,74,99,103,128,53,57,82,107,111,136,61,65,90,115,119,144,69,79
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,78,103,28,32,57,82,86,111,36,40,65,90,94,119,44,54
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,78,103,28,32,57,82,86,111,36,46
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,29,54,79,83,108,33,37,62,87,91,116,41,45,70,95,99,124,49,53,78,103,107,132,57,61,86,111,121
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,54,58,83,8,12,37,62,66,91,16,20,45,70,74,99,24,28,53,78,82,107,32,36,61,86,96
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,78,103,28,32,57,82,92
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,29,54,79,83,108,33,37,62,87,91,116,41,45,70,95,99,124,49,53,78,103,107,132,57,67
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,54,58,83,8,12,37,62,66,91,16,20,45,70,74,99,24,28,53,78,82,107,32,42
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,78,103,28,38
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,29,54,79,83,108,33,37,62,87,91,116,41,45,70,95,99,124,49,53,78,103,113
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,54,58,83,8,12,37,62,66,91,16,20,45,70,74,99,24,28,53,78,88
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,70,95,20,24,49,74,84
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,29,54,79,83,108,33,37,62,87,91,116,41,45,70,95,99,124,49,59
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,54,58,83,8,12,37,62,66,91,16,20,45,70,74,99,24,34
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,54,79,4,8,33,58,62,87,12,16,41,66,70,95,20,30
