OrderID,TimestampMin,ItemID,Aisle,Category,AisleLocation
ORDER0001,1.0,ITEM10887,Aisle-9,Groceries,26
ORDER0001,1.0,ITEM12486,Aisle-17,Tools,50
ORDER0002,1.43,ITEM7561,Aisle-2,Toys,5
ORDER0002,1.43,ITEM18938,Aisle-5,Toys,14
ORDER0002,1.43,ITEM9289,Aisle-6,Apparel,17
ORDER0002,1.43,ITEM12637,Aisle-8,Electronics,23
ORDER0002,1.43,ITEM5441,Aisle-15,Groceries,44
ORDER0002,1.43,ITEM18123,Aisle-19,Electronics,56
ORDER0003,2.15,ITEM0306,Aisle-5,Apparel,14
ORDER0003,2.15,ITEM12568,Aisle-13,Electronics,38
ORDER0003,2.15,ITEM18889,Aisle-15,Groceries,44
ORDER0003,2.15,ITEM9070,Aisle-20,Books,59
ORDER0004,6.9,ITEM5081,Aisle-6,Tools,17
ORDER0004,6.9,ITEM4910,Aisle-6,Groceries,17
ORDER0004,6.9,ITEM10450,Aisle-13,Groceries,38
ORDER0004,6.9,ITEM8162,Aisle-14,Books,41
ORDER0004,6.9,ITEM0601,Aisle-20,Home,59
ORDER0004,6.9,ITEM14399,Aisle-20,Home,59
ORDER0005,8.52,ITEM19130,Aisle-6,Electronics,17
ORDER0005,8.52,ITEM5489,Aisle-13,Toys,38
ORDER0005,8.52,ITEM8439,Aisle-15,Books,44
ORDER0006,8.99,ITEM1082,Aisle-2,Groceries,5
ORDER0006,8.99,ITEM9236,Aisle-3,Books,8
ORDER0006,8.99,ITEM1950,Aisle-8,Home,23
ORDER0006,8.99,ITEM14176,Aisle-10,Groceries,29
ORDER0006,8.99,ITEM3927,Aisle-13,Tools,38
ORDER0006,8.99,ITEM7074,Aisle-13,Books,38
ORDER0006,8.99,ITEM19260,Aisle-18,Toys,53
ORDER0007,10.46,ITEM11804,Aisle-2,Groceries,5
ORDER0007,10.46,ITEM18195,Aisle-4,Books,11
ORDER0007,10.46,ITEM4097,Aisle-12,Toys,35
ORDER0007,10.46,ITEM2383,Aisle-18,Apparel,53
ORDER0007,10.46,ITEM15571,Aisle-18,Electronics,53
ORDER0008,17.67,ITEM3234,Aisle-1,Apparel,2
ORDER0008,17.67,ITEM4706,Aisle-1,Apparel,2
ORDER0008,17.67,ITEM4056,Aisle-6,Books,17
ORDER0008,17.67,ITEM1755,Aisle-14,Apparel,41
ORDER0008,17.67,ITEM5825,Aisle-15,Apparel,44
ORDER0008,17.67,ITEM0608,Aisle-20,Toys,59
ORDER0009,18.79,ITEM19930,Aisle-1,Groceries,2
ORDER0009,18.79,ITEM5967,Aisle-6,Electronics,17
ORDER0009,18.79,ITEM10414,Aisle-7,Home,20
ORDER0009,18.79,ITEM0855,Aisle-8,Groceries,23
ORDER0009,18.79,ITEM14251,Aisle-10,Books,29
ORDER0009,18.79,ITEM7384,Aisle-14,Home,41
ORDER0009,18.79,ITEM8735,Aisle-17,Tools,50
ORDER0009,18.79,ITEM18933,Aisle-20,Toys,59
ORDER0010,19.75,ITEM13090,Aisle-4,Electronics,11
ORDER0010,19.75,ITEM1881,Aisle-6,Tools,17
ORDER0010,19.75,ITEM4782,Aisle-6,Tools,17
ORDER0010,19.75,ITEM9877,Aisle-13,Electronics,38
ORDER0010,19.75,ITEM3497,Aisle-14,Books,41
ORDER0011,21.49,ITEM7550,Aisle-1,Toys,2
ORDER0011,21.49,ITEM3065,Aisle-2,Home,5
ORDER0011,21.49,ITEM0705,Aisle-3,Home,8
ORDER0011,21.49,ITEM16164,Aisle-14,Home,41
ORDER0011,21.49,ITEM13343,Aisle-16,Tools,47
ORDER0011,21.49,ITEM12938,Aisle-19,Groceries,56
ORDER0012,21.85,ITEM0710,Aisle-5,Home,14
ORDER0012,21.85,ITEM4423,Aisle-10,Toys,29
ORDER0012,21.85,ITEM2815,Aisle-11,Toys,32
ORDER0013,22.59,ITEM17688,Aisle-6,Groceries,17
ORDER0013,22.59,ITEM2552,Aisle-8,Apparel,23
ORDER0013,22.59,ITEM13949,Aisle-11,Toys,32
ORDER0013,22.59,ITEM13168,Aisle-12,Books,35
ORDER0013,22.59,ITEM17443,Aisle-16,Apparel,47
ORDER0013,22.59,ITEM9167,Aisle-16,Home,47
ORDER0013,22.59,ITEM15022,Aisle-18,Books,53
ORDER0014,25.47,ITEM0921,Aisle-1,Electronics,2
ORDER0014,25.47,ITEM15197,Aisle-1,Apparel,2
ORDER0014,25.47,ITEM0467,Aisle-4,Electronics,11
ORDER0015,26.88,ITEM2154,Aisle-7,Apparel,20
ORDER0015,26.88,ITEM10548,Aisle-8,Tools,23
ORDER0015,26.88,ITEM5778,Aisle-10,Toys,29
ORDER0015,26.88,ITEM4549,Aisle-18,Apparel,53
ORDER0016,28.32,ITEM4184,Aisle-4,Home,11
