ItemID,ItemName,Category,Aisle
ITEM0001,Product_2824,Electronics,Aisle-9
ITEM0002,Product_5012,Apparel,Aisle-5
ITEM0003,Product_2679,Toys,Aisle-18
ITEM0004,Product_2424,Tools,Aisle-14
ITEM0005,Product_1520,Electronics,Aisle-3
ITEM0006,Product_4582,Apparel,Aisle-17
ITEM0007,Product_1434,Tools,Aisle-7
ITEM0008,Product_9928,Home,Aisle-8
ITEM0009,Product_8359,Tools,Aisle-9
ITEM0010,Product_1106,Groceries,Aisle-6
ITEM0011,Product_7924,Books,Aisle-9
ITEM0012,Product_3547,Apparel,Aisle-11
ITEM0013,Product_2674,Electronics,Aisle-13
ITEM0014,Product_2584,Books,Aisle-12
ITEM0015,Product_5333,Groceries,Aisle-2
ITEM0016,Product_8527,Tools,Aisle-4
ITEM0017,Product_7201,Electronics,Aisle-18
ITEM0018,Product_5803,Groceries,Aisle-20
ITEM0019,Product_6925,Tools,Aisle-7
ITEM0020,Product_2139,Electronics,Aisle-8
ITEM0021,Product_5741,Electronics,Aisle-8
ITEM0022,Product_2654,Home,Aisle-9
ITEM0023,Product_8428,Toys,Aisle-12
ITEM0024,Product_3664,Books,Aisle-12
ITEM0025,Product_4432,Toys,Aisle-9
ITEM0026,Product_2169,Tools,Aisle-6
ITEM0027,Product_9751,Toys,Aisle-8
ITEM0028,Product_3677,Home,Aisle-13
ITEM0029,Product_5422,Toys,Aisle-18
ITEM0030,Product_4598,Toys,Aisle-11
ITEM0031,Product_1916,Apparel,Aisle-2
ITEM0032,Product_6168,Home,Aisle-9
ITEM0033,Product_2084,Apparel,Aisle-19
ITEM0034,Product_6155,Apparel,Aisle-16
ITEM0035,Product_7482,Toys,Aisle-15
ITEM0036,Product_3340,Books,Aisle-5
ITEM0037,Product_5040,Toys,Aisle-18
ITEM0038,Product_9830,Books,Aisle-19
ITEM0039,Product_8019,Tools,Aisle-13
ITEM0040,Product_6930,Apparel,Aisle-5
ITEM0041,Product_9348,Home,Aisle-3
ITEM0042,Product_1771,Groceries,Aisle-4
ITEM0043,Product_3504,Toys,Aisle-6
ITEM0044,Product_7916,Tools,Aisle-3
ITEM0045,Product_7304,Home,Aisle-20
ITEM0046,Product_8668,Tools,Aisle-9
ITEM0047,Product_1188,Toys,Aisle-4
ITEM0048,Product_9797,Groceries,Aisle-9
ITEM0049,Product_6573,Electronics,Aisle-10
ITEM0050,Product_8123,Apparel,Aisle-15
ITEM0051,Product_1053,Toys,Aisle-9
ITEM0052,Product_9201,Groceries,Aisle-6
ITEM0053,Product_9317,Electronics,Aisle-10
ITEM0054,Product_9317,Tools,Aisle-7
ITEM0055,Product_3504,Books,Aisle-6
ITEM0056,Product_9837,Groceries,Aisle-17
ITEM0057,Product_1009,Tools,Aisle-11
ITEM0058,Product_9005,Electronics,Aisle-4
ITEM0059,Product_6947,Groceries,Aisle-10
ITEM0060,Product_4923,Electronics,Aisle-8
ITEM0061,Product_2290,Electronics,Aisle-16
ITEM0062,Product_2133,Groceries,Aisle-18
ITEM0063,Product_3060,Apparel,Aisle-16
ITEM0064,Product_3705,Books,Aisle-17
ITEM0065,Product_7932,Apparel,Aisle-18
ITEM0066,Product_4295,Toys,Aisle-10
ITEM0067,Product_7537,Toys,Aisle-12
ITEM0068,Product_8177,Tools,Aisle-15
ITEM0069,Product_2982,Apparel,Aisle-8
ITEM0070,Product_2049,Books,Aisle-1
ITEM0071,Product_4770,Tools,Aisle-8
ITEM0072,Product_1117,Electronics,Aisle-2
ITEM0073,Product_4750,Electronics,Aisle-2
ITEM0074,Product_6413,Electronics,Aisle-17
ITEM0075,Product_4899,Books,Aisle-16
ITEM0076,Product_4510,Tools,Aisle-5
ITEM0077,Product_8744,Apparel,Aisle-16
ITEM0078,Product_7669,Apparel,Aisle-4
ITEM0079,Product_2588,Toys,Aisle-14
ITEM0080,Product_6804,Home,Aisle-14
ITEM0081,Product_8651,Groceries,Aisle-2
ITEM0082,Product_2612,Electronics,Aisle-13
ITEM0083,Product_6559,Groceries,Aisle-4
ITEM0084,Product_5073,Apparel,Aisle-7
ITEM0085,Product_9786,Home,Aisle-5
ITEM0086,Product_7912,Apparel,Aisle-9
ITEM0087,Product_8579,Apparel,Aisle-3
ITEM0088,Product_8260,Groceries,Aisle-18
ITEM0089,Product_2604,Electronics,Aisle-18
ITEM0090,Product_1241,Electronics,Aisle-8
ITEM0091,Product_3724,Home,Aisle-16
ITEM0092,Product_8886,Apparel,Aisle-13
ITEM0093,Product_1960,Apparel,Aisle-13
ITEM0094,Product_1035,Home,Aisle-9
ITEM0095,Product_8454,Books,Aisle-14
ITEM0096,Product_8973,Apparel,Aisle-7
ITEM0097,Product_5861,Apparel,Aisle-2
ITEM0098,Product_9883,Electronics,Aisle-11
ITEM0099,Product_1936,Electronics,Aisle-19
ITEM0100,Product_8811,Tools,Aisle-17
ITEM0101,Product_3579,Electronics,Aisle-17
ITEM0102,Product_2312,Groceries,Aisle-6
ITEM0103,Product_2122,Tools,Aisle-3
ITEM0104,Product_4853,Home,Aisle-4
ITEM0105,Product_5033,Tools,Aisle-20
ITEM0106,Product_1651,Tools,Aisle-3
ITEM0107,Product_7868,Toys,Aisle-19
ITEM0108,Product_9565,Books,Aisle-9
ITEM0109,Product_4346,Toys,Aisle-11
ITEM0110,Product_4910,Books,Aisle-13
ITEM0111,Product_3144,Toys,Aisle-10
ITEM0112,Product_8491,Books,Aisle-3
ITEM0113,Product_1152,Home,Aisle-20
ITEM0114,Product_2638,Electronics,Aisle-18
ITEM0115,Product_4492,Tools,Aisle-9
ITEM0116,Product_3170,Books,Aisle-3
ITEM0117,Product_5002,Books,Aisle-10
ITEM0118,Product_3584,Home,Aisle-18
ITEM0119,Product_5956,Tools,Aisle-17
ITEM0120,Product_1128,Toys,Aisle-18
ITEM0121,Product_5905,Toys,Aisle-4
ITEM0122,Product_3200,Books,Aisle-4
ITEM0123,Product_2753,Toys,Aisle-18
ITEM0124,Product_3546,Books,Aisle-10
ITEM0125,Product_4450,Toys,Aisle-11
ITEM0126,Product_4335,Toys,Aisle-9
ITEM0127,Product_9280,Home,Aisle-9
ITEM0128,Product_1832,Electronics,Aisle-14
ITEM0129,Product_5533,Electronics,Aisle-1
ITEM0130,Product_6464,Groceries,Aisle-5
ITEM0131,Product_5291,Apparel,Aisle-15
ITEM0132,Product_8007,Tools,Aisle-1
ITEM0133,Product_2832,Electronics,Aisle-5
ITEM0134,Product_9938,Electronics,Aisle-12
ITEM0135,Product_3426,Home,Aisle-5
ITEM0136,Product_1685,Books,Aisle-12
ITEM0137,Product_1653,Books,Aisle-7
ITEM0138,Product_5088,Toys,Aisle-4
ITEM0139,Product_6794,Groceries,Aisle-18
ITEM0140,Product_7658,Tools,Aisle-5
ITEM0141,Product_4878,Groceries,Aisle-6
ITEM0142,Product_3900,Home,Aisle-1
ITEM0143,Product_3938,Toys,Aisle-11
ITEM0144,Product_7745,Groceries,Aisle-8
ITEM0145,Product_5371,Apparel,Aisle-4
ITEM0146,Product_7267,Groceries,Aisle-2
ITEM0147,Product_8711,Apparel,Aisle-7
ITEM0148,Product_8541,Books,Aisle-10
ITEM0149,Product_4728,Apparel,Aisle-1
ITEM0150,Product_4164,Home,Aisle-11
ITEM0151,Product_5564,Groceries,Aisle-3
ITEM0152,Product_5573,Books,Aisle-17
ITEM0153,Product_7548,Toys,Aisle-18
ITEM0154,Product_6425,Electronics,Aisle-4
ITEM0155,Product_5279,Apparel,Aisle-19
ITEM0156,Product_5349,Electronics,Aisle-4
ITEM0157,Product_8119,Books,Aisle-11
ITEM0158,Product_8149,Tools,Aisle-17
ITEM0159,Product_2894,Home,Aisle-19
ITEM0160,Product_4114,Books,Aisle-2
ITEM0161,Product_8144,Electronics,Aisle-17
ITEM0162,Product_9821,Toys,Aisle-7
ITEM0163,Product_6967,Home,Aisle-3
ITEM0164,Product_6409,Tools,Aisle-11
ITEM0165,Product_3041,Toys,Aisle-10
ITEM0166,Product_9308,Books,Aisle-14
ITEM0167,Product_6344,Home,Aisle-10
ITEM0168,Product_3085,Apparel,Aisle-14
ITEM0169,Product_7211,Toys,Aisle-6
ITEM0170,Product_5930,Home,Aisle-18
ITEM0171,Product_1006,Books,Aisle-10
ITEM0172,Product_4443,Home,Aisle-19
ITEM0173,Product_6279,Home,Aisle-15
ITEM0174,Product_8244,Toys,Aisle-7
ITEM0175,Product_9375,Home,Aisle-6
ITEM0176,Product_2389,Books,Aisle-17
ITEM0177,Product_6491,Electronics,Aisle-8
ITEM0178,Product_6085,Apparel,Aisle-7
ITEM0179,Product_3414,Electronics,Aisle-2
ITEM0180,Product_5011,Home,Aisle-20
ITEM0181,Product_2193,Home,Aisle-14
ITEM0182,Product_4185,Toys,Aisle-13
ITEM0183,Product_9099,Home,Aisle-8
ITEM0184,Product_3417,Toys,Aisle-1
ITEM0185,Product_2746,Groceries,Aisle-14
ITEM0186,Product_4585,Apparel,Aisle-17
ITEM0187,Product_8611,Electronics,Aisle-18
ITEM0188,Product_5082,Groceries,Aisle-4
ITEM0189,Product_8478,Apparel,Aisle-15
ITEM0190,Product_9702,Tools,Aisle-20
ITEM0191,Product_6198,Groceries,Aisle-15
ITEM0192,Product_9270,Home,Aisle-18
ITEM0193,Product_8305,Apparel,Aisle-16
ITEM0194,Product_8373,Books,Aisle-8
ITEM0195,Product_5543,Groceries,Aisle-17
ITEM0196,Product_8939,Toys,Aisle-8
ITEM0197,Product_5499,Home,Aisle-3
ITEM0198,Product_5681,Apparel,Aisle-9
ITEM0199,Product_6502,Books,Aisle-18
ITEM0200,Product_2320,Apparel,Aisle-5
ITEM0201,Product_4788,Home,Aisle-5
ITEM0202,Product_4505,Electronics,Aisle-14
ITEM0203,Product_7678,Books,Aisle-18
ITEM0204,Product_8633,Home,Aisle-2
ITEM0205,Product_4388,Groceries,Aisle-14
ITEM0206,Product_7381,Groceries,Aisle-19
ITEM0207,Product_1320,Groceries,Aisle-19
ITEM0208,Product_7232,Home,Aisle-1
ITEM0209,Product_6763,Books,Aisle-13
ITEM0210,Product_7865,Tools,Aisle-18
ITEM0211,Product_4613,Home,Aisle-8
ITEM0212,Product_5471,Home,Aisle-16
ITEM0213,Product_1475,Home,Aisle-11
ITEM0214,Product_7624,Toys,Aisle-6
ITEM0215,Product_8657,Apparel,Aisle-20
ITEM0216,Product_9751,Electronics,Aisle-13
ITEM0217,Product_1444,Electronics,Aisle-14
ITEM0218,Product_3223,Groceries,Aisle-15
ITEM0219,Product_3977,Electronics,Aisle-9
ITEM0220,Product_7211,Books,Aisle-7
ITEM0221,Product_8449,Books,Aisle-11
ITEM0222,Product_7211,Books,Aisle-14
ITEM0223,Product_5133,Groceries,Aisle-3
ITEM0224,Product_8705,Electronics,Aisle-18
ITEM0225,Product_1853,Books,Aisle-8
ITEM0226,Product_2124,Groceries,Aisle-2
ITEM0227,Product_1508,Apparel,Aisle-7
